Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,533.039978,533.039978,533.039978,533.039978,533.039978,0
1994-02-23,538.010010,538.010010,538.010010,538.010010,538.010010,0
1994-02-24,521.030029,521.030029,521.030029,521.030029,521.030029,0
1994-02-25,504.420013,504.420013,504.420013,504.420013,504.420013,0
1994-02-28,519.770020,519.770020,519.770020,519.770020,519.770020,0
1994-03-01,507.480011,507.480011,507.480011,507.480011,507.480011,0
1994-03-02,493.690002,493.690002,493.690002,493.690002,493.690002,0
1994-03-03,489.769989,489.769989,489.769989,489.769989,489.769989,0
1994-03-04,495.880005,495.880005,495.880005,495.880005,495.880005,0
1994-03-07,503.109985,503.109985,503.109985,503.109985,503.109985,0
1994-03-08,514.989990,514.989990,514.989990,514.989990,514.989990,0
1994-03-09,511.369995,511.369995,511.369995,511.369995,511.369995,0
1994-03-10,506.570007,506.570007,506.570007,506.570007,506.570007,0
1994-03-11,495.179993,495.179993,495.179993,495.179993,495.179993,0
1994-03-14,499.959991,499.959991,499.959991,499.959991,499.959991,0
1994-03-15,493.440002,493.440002,493.440002,493.440002,493.440002,0
1994-03-16,486.149994,486.149994,486.149994,486.149994,486.149994,0
1994-03-17,475.720001,475.720001,475.720001,475.720001,475.720001,0
1994-03-18,456.399994,456.399994,456.399994,456.399994,456.399994,0
1994-03-21,432.910004,432.910004,432.910004,432.910004,432.910004,0
1994-03-22,450.160004,450.160004,450.160004,450.160004,450.160004,0
1994-03-23,471.950012,471.950012,471.950012,471.950012,471.950012,0
1994-03-24,466.309998,466.309998,466.309998,466.309998,466.309998,0
1994-03-25,462.630005,462.630005,462.630005,462.630005,462.630005,0
1994-03-28,461.220001,461.220001,461.220001,461.220001,461.220001,0
1994-03-29,475.480011,475.480011,475.480011,475.480011,475.480011,0
1994-03-30,462.799988,462.799988,462.799988,462.799988,462.799988,0
1994-03-31,452.600006,452.600006,452.600006,452.600006,452.600006,0
1994-04-04,452.600006,452.600006,452.600006,452.600006,452.600006,0
1994-04-05,452.600006,452.600006,452.600006,452.600006,452.600006,0
1994-04-06,462.480011,462.480011,462.480011,462.480011,462.480011,0
1994-04-07,465.440002,465.440002,465.440002,465.440002,465.440002,0
1994-04-08,466.000000,466.000000,466.000000,466.000000,466.000000,0
1994-04-11,475.609985,475.609985,475.609985,475.609985,475.609985,0
1994-04-12,488.709991,488.709991,488.709991,488.709991,488.709991,0
1994-04-13,489.190002,489.190002,489.190002,489.190002,489.190002,0
1994-04-14,481.420013,481.420013,481.420013,481.420013,481.420013,0
1994-04-15,478.130005,478.130005,478.130005,478.130005,478.130005,0
1994-04-18,476.790009,476.790009,476.790009,476.790009,476.790009,0
1994-04-19,466.320007,466.320007,466.320007,466.320007,466.320007,0
1994-04-20,461.899994,461.899994,461.899994,461.899994,461.899994,0
1994-04-21,447.640015,447.640015,447.640015,447.640015,447.640015,0
